Datetime,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,hour,weekday,month,is_weekend
2004-03-16 05:00:00,0.6,17.0,2.0,38.0,52.0,12.8,63.2,0.9283,5,1,3,0
2004-03-16 06:00:00,0.9,27.0,3.5,82.0,64.0,11.2,68.5,0.9081,6,1,3,0
2004-03-16 07:00:00,1.3,50.0,5.1,99.0,70.0,11.0,66.5,0.8705,7,1,3,0
2004-03-16 08:00:00,3.4,218.0,16.2,263.0,97.0,11.7,63.7,0.8719,8,1,3,0
2004-03-16 09:00:00,3.7,285.0,19.7,229.0,95.0,13.6,56.3,0.8743,9,1,3,0
2004-03-16 10:00:00,5.3,437.0,25.1,396.0,150.0,17.8,42.9,0.8672,10,1,3,0
2004-03-16 11:00:00,4.1,327.0,20.0,314.0,162.0,21.4,33.3,0.8417,11,1,3,0
2004-03-16 12:00:00,3.3,283.0,18.3,217.0,154.0,24.4,27.4,0.8231,12,1,3,0
2004-03-16 13:00:00,4.0,366.0,22.3,252.0,161.0,25.3,26.1,0.8264,13,1,3,0
2004-03-16 14:00:00,3.8,318.0,20.4,263.0,161.0,25.8,23.2,0.7589,14,1,3,0
2004-03-16 15:00:00,2.8,228.0,14.6,180.0,128.0,27.0,20.2,0.7094,15,1,3,0
2004-03-16 16:00:00,2.9,201.0,16.6,184.0,129.0,28.2,18.6,0.7014,16,1,3,0
2004-03-16 17:00:00,2.9,199.0,15.8,190.0,133.0,28.0,19.1,0.7098,17,1,3,0
2004-03-16 18:00:00,3.4,237.0,17.8,184.0,139.0,23.9,25.7,0.7519,18,1,3,0
2004-03-16 19:00:00,3.9,261.0,19.1,181.0,137.0,21.3,34.8,0.873,19,1,3,0
2004-03-16 20:00:00,3.2,230.0,15.8,166.0,143.0,20.4,36.7,0.8704,20,1,3,0
2004-03-16 21:00:00,5.1,349.0,24.9,317.0,177.0,19.0,41.3,0.9007,21,1,3,0
2004-03-16 22:00:00,2.6,183.0,13.5,184.0,138.0,17.9,45.9,0.9342,22,1,3,0
2004-03-16 23:00:00,1.7,88.0,9.1,130.0,117.0,16.7,48.9,0.9226,23,1,3,0
2004-03-17 00:00:00,1.7,85.0,8.6,132.0,107.0,15.5,52.9,0.9271,0,2,3,0
2004-03-17 01:00:00,1.2,47.0,5.4,95.0,90.0,15.5,51.9,0.9059,1,2,3,0
2004-03-17 02:00:00,0.9,34.0,4.1,70.0,79.0,14.1,55.6,0.891,2,2,3,0
2004-03-17 03:00:00,0.7,26.0,2.6,62.0,69.5,13.1,57.9,0.8666,3,2,3,0
2004-03-17 04:00:00,0.6,17.0,1.9,54.0,60.0,12.7,57.9,0.8447,4,2,3,0
2004-03-17 05:00:00,0.5,11.0,1.6,28.0,40.0,11.8,58.0,0.8026,5,2,3,0
2004-03-17 06:00:00,0.5,18.0,1.9,46.0,53.0,11.9,57.4,0.7978,6,2,3,0
2004-03-17 07:00:00,1.6,84.0,7.5,160.0,84.0,9.9,65.2,0.7956,7,2,3,0
2004-03-17 08:00:00,4.1,260.0,21.4,320.0,108.0,11.1,60.2,0.7958,8,2,3,0
2004-03-17 09:00:00,6.6,534.0,36.4,377.0,127.0,14.1,50.0,0.802,9,2,3,0
2004-03-17 10:00:00,4.3,368.0,21.3,280.0,134.0,17.7,40.1,0.8048,10,2,3,0
2004-03-17 11:00:00,2.9,200.0,15.4,221.0,135.0,21.1,33.4,0.8265,11,2,3,0
2004-03-17 12:00:00,2.5,145.0,12.5,210.0,142.0,24.3,28.3,0.8471,12,2,3,0
2004-03-17 13:00:00,2.8,188.0,15.1,204.0,153.0,25.6,25.6,0.8254,13,2,3,0
2004-03-17 14:00:00,2.6,152.0,13.7,161.0,123.0,25.9,25.9,0.8503,14,2,3,0
2004-03-17 15:00:00,2.0,103.0,10.4,135.0,104.0,26.8,18.7,0.65,15,2,3,0
2004-03-17 16:00:00,2.9,193.0,15.2,186.0,129.0,29.3,15.8,0.6309,16,2,3,0
2004-03-17 17:00:00,2.5,134.0,12.3,147.0,114.0,28.5,14.9,0.5708,17,2,3,0
2004-03-17 18:00:00,5.0,386.0,27.0,299.0,158.0,25.9,16.0,0.5237,18,2,3,0
2004-03-17 19:00:00,7.6,577.0,38.4,411.0,194.0,23.1,26.5,0.7403,19,2,3,0
2004-03-17 20:00:00,6.7,523.0,35.1,347.0,182.0,20.5,38.2,0.9133,20,2,3,0
2004-03-17 21:00:00,5.7,472.0,27.2,336.0,180.0,19.1,42.6,0.9294,21,2,3,0
2004-03-17 22:00:00,2.8,206.0,15.0,202.0,136.0,17.2,44.1,0.8558,22,2,3,0
2004-03-17 23:00:00,2.6,216.0,15.7,178.0,127.0,16.0,50.9,0.9206,23,2,3,0
2004-03-18 00:00:00,2.3,159.0,13.0,154.0,116.0,14.8,53.9,0.9024,0,3,3,0
2004-03-18 01:00:00,1.4,70.0,8.1,92.0,107.0,14.3,55.4,0.8975,1,3,3,0
2004-03-18 02:00:00,1.0,44.0,5.5,61.0,88.0,14.8,52.1,0.8686,2,3,3,0
2004-03-18 03:00:00,0.7,42.0,3.6,60.5,83.0,13.9,53.9,0.8501,3,3,3,0
2004-03-18 04:00:00,0.6499999999999999,28.0,2.9,60.0,78.0,11.6,61.9,0.8442,4,3,3,0
2004-03-18 05:00:00,0.6,20.0,2.5,37.0,57.0,12.0,58.9,0.8233,5,3,3,0
2004-03-18 06:00:00,0.7,26.0,3.0,68.0,71.0,10.9,62.1,0.8113,6,3,3,0
2004-03-18 07:00:00,1.5,78.0,7.7,139.0,85.0,10.6,63.3,0.8067,7,3,3,0
2004-03-18 08:00:00,4.7,319.0,23.3,339.0,124.0,11.5,60.0,0.8117,8,3,3,0
2004-03-18 09:00:00,6.6,506.0,35.8,421.0,151.0,14.3,50.6,0.8186,9,3,3,0
2004-03-18 10:00:00,4.5,505.4660194174757,21.3,349.0,150.0,17.8,40.5,0.821,10,3,3,0
2004-03-18 11:00:00,2.8,504.93203883495147,14.3,224.0,152.0,20.8,34.4,0.8365,11,3,3,0
2004-03-18 12:00:00,2.2,504.3980582524272,12.5,171.0,139.0,23.8,28.2,0.8219,12,3,3,0
2004-03-18 13:00:00,2.2,503.86407766990294,12.2,149.0,133.0,24.2,28.7,0.8515,13,3,3,0
2004-03-18 14:00:00,2.3,503.33009708737865,13.1,137.0,126.0,25.2,24.9,0.7829,14,3,3,0
2004-03-18 15:00:00,2.2,502.79611650485435,14.4,149.0,128.0,27.0,17.8,0.6275,15,3,3,0
2004-03-18 16:00:00,2.8,502.2621359223301,16.8,172.0,169.0,27.1,23.1,0.818,16,3,3,0
2004-03-18 17:00:00,2.7,501.7281553398058,14.5,166.0,149.0,25.8,23.9,0.7832,17,3,3,0
2004-03-18 18:00:00,3.7,501.19417475728153,21.5,214.0,156.0,23.0,26.8,0.7446,18,3,3,0
2004-03-18 19:00:00,5.1,500.6601941747573,26.4,280.0,168.0,20.7,31.1,0.7523,19,3,3,0
2004-03-18 20:00:00,5.1,500.126213592233,26.0,276.0,176.0,18.6,36.2,0.7676,20,3,3,0
2004-03-18 21:00:00,3.2,499.59223300970876,14.1,178.0,135.0,16.0,48.4,0.8768,21,3,3,0
2004-03-18 22:00:00,2.1,499.05825242718447,10.3,129.0,121.0,14.5,57.8,0.9456,22,3,3,0
2004-03-18 23:00:00,1.7,498.5242718446602,8.3,95.0,99.0,13.1,64.2,0.9606,23,3,3,0
2004-03-19 00:00:00,2.0,497.99029126213594,8.9,126.0,106.0,12.0,69.7,0.9735,0,4,3,0
2004-03-19 01:00:00,1.6,497.45631067961165,6.6,103.0,96.0,11.9,71.1,0.9915,1,4,3,0
2004-03-19 02:00:00,0.9,496.92233009708735,3.6,48.0,63.0,12.5,69.3,1.0029,2,4,3,0
2004-03-19 03:00:00,0.7,496.3883495145631,2.5,34.0,47.5,12.5,67.5,0.9768,3,4,3,0
2004-03-19 04:00:00,0.6,495.8543689320388,1.8,20.0,32.0,12.3,67.7,0.9665,4,4,3,0
2004-03-19 05:00:00,0.5,495.3203883495146,1.3,18.0,28.0,12.5,66.8,0.962,5,4,3,0
2004-03-19 06:00:00,0.7,494.7864077669903,2.3,56.0,61.0,12.3,66.3,0.9487,6,4,3,0
2004-03-19 07:00:00,1.5,494.252427184466,6.7,115.0,99.0,12.4,64.9,0.9332,7,4,3,0
2004-03-19 08:00:00,4.8,493.71844660194176,22.8,320.0,157.0,13.0,61.6,0.9209,8,4,3,0
2004-03-19 09:00:00,6.2,493.18446601941747,31.3,357.0,166.0,13.6,58.8,0.912,9,4,3,0
2004-03-19 10:00:00,4.0,492.6504854368932,19.2,253.0,149.0,13.9,57.1,0.9032,10,4,3,0
2004-03-19 11:00:00,3.3,492.11650485436894,16.4,218.0,135.0,14.5,54.4,0.8917,11,4,3,0
2004-03-19 12:00:00,2.8,491.58252427184465,14.0,192.0,127.0,15.5,50.1,0.8744,12,4,3,0
2004-03-19 13:00:00,3.0,491.0485436893204,15.3,176.0,122.0,16.1,47.6,0.8655,13,4,3,0
2004-03-19 14:00:00,3.3,490.5145631067961,16.7,198.0,135.0,16.3,47.1,0.864,14,4,3,0
2004-03-19 15:00:00,3.5,489.9805825242718,19.0,212.0,139.0,16.4,47.5,0.8791,15,4,3,0
2004-03-19 16:00:00,4.0,489.4466019417476,19.4,249.0,147.0,16.1,50.2,0.9094,16,4,3,0
2004-03-19 17:00:00,4.6,488.9126213592233,20.9,270.0,158.0,16.0,50.7,0.9142,17,4,3,0
2004-03-19 18:00:00,4.1,488.37864077669906,20.2,231.0,146.0,15.8,50.3,0.8989,18,4,3,0
2004-03-19 19:00:00,4.5,487.84466019417476,21.7,251.0,144.0,15.5,50.6,0.884,19,4,3,0
2004-03-19 20:00:00,3.9,487.31067961165047,19.8,210.0,138.0,15.4,51.4,0.8956,20,4,3,0
2004-03-19 21:00:00,4.0,486.77669902912623,16.7,249.0,143.0,15.2,53.1,0.9117,21,4,3,0
2004-03-19 22:00:00,2.2,486.24271844660194,9.1,143.0,116.0,14.7,57.6,0.9573,22,4,3,0
2004-03-19 23:00:00,2.1,485.70873786407765,8.3,127.0,109.0,14.2,58.3,0.938,23,4,3,0
2004-03-20 00:00:00,1.7,485.1747572815534,5.8,104.0,92.0,13.8,57.9,0.9085,0,5,3,1
2004-03-20 01:00:00,1.6,484.6407766990291,5.2,86.0,83.0,13.9,55.9,0.8842,1,5,3,1
2004-03-20 02:00:00,1.3,484.1067961165048,4.1,74.0,81.0,13.9,55.6,0.8765,2,5,3,1
2004-03-20 03:00:00,1.3,483.5728155339806,3.4,59.0,68.0,13.8,55.1,0.8666,3,5,3,1
2004-03-20 04:00:00,1.05,483.0388349514563,2.9,44.0,55.0,13.8,54.6,0.8574,4,5,3,1
2004-03-20 05:00:00,0.8,482.50485436893206,3.1,42.0,53.0,13.6,55.1,0.856,5,5,3,1
2004-03-20 06:00:00,0.8,481.97087378640776,2.5,63.0,67.0,13.6,59.0,0.9129,6,5,3,1
2004-03-20 07:00:00,1.1,481.43689320388347,4.3,115.0,91.0,13.5,58.4,0.896,7,5,3,1
2004-03-20 08:00:00,2.1,480.90291262135923,8.9,170.0,113.0,13.8,58.0,0.9083,8,5,3,1
2004-03-20 09:00:00,2.4,480.36893203883494,10.5,147.0,102.0,14.6,53.1,0.8765,9,5,3,1
2004-03-20 10:00:00,2.6,479.8349514563107,12.5,166.0,107.0,15.0,52.3,0.8881,10,5,3,1
2004-03-20 11:00:00,2.8,479.3009708737864,12.3,195.0,113.0,15.4,52.1,0.9046,11,5,3,1
2004-03-20 12:00:00,2.6,478.7669902912621,11.7,182.0,108.0,16.3,50.0,0.9158,12,5,3,1
2004-03-20 13:00:00,2.6,478.2330097087379,11.7,168.0,105.0,17.1,47.9,0.9281,13,5,3,1
2004-03-20 14:00:00,2.1,477.6990291262136,9.3,125.0,93.0,19.0,42.9,0.937,14,5,3,1
2004-03-20 15:00:00,1.7,477.1650485436893,7.6,95.0,87.0,19.5,42.3,0.9476,15,5,3,1
2004-03-20 16:00:00,1.6,476.63106796116506,6.7,79.0,76.0,19.5,42.3,0.9493,16,5,3,1
2004-03-20 17:00:00,2.1,476.09708737864077,9.7,119.0,94.0,19.1,43.8,0.9556,17,5,3,1
2004-03-20 18:00:00,2.3,475.56310679611653,12.4,142.0,110.0,18.5,46.3,0.9744,18,5,3,1
2004-03-20 19:00:00,3.5,475.02912621359224,16.6,215.0,136.0,17.4,51.6,1.0159,19,5,3,1
2004-03-20 20:00:00,3.9,474.49514563106794,16.4,229.0,139.0,17.1,51.3,0.9914,20,5,3,1
2004-03-20 21:00:00,3.3,473.9611650485437,13.7,206.0,125.0,16.4,53.8,0.9964,21,5,3,1
2004-03-20 22:00:00,2.3,473.4271844660194,9.9,147.0,111.0,16.2,55.4,1.0132,22,5,3,1
2004-03-20 23:00:00,2.1,472.8932038834952,8.9,122.0,97.0,15.9,57.7,1.0356,23,5,3,1
2004-03-21 00:00:00,2.8,472.3592233009709,10.6,175.0,107.0,15.7,58.6,1.0396,0,6,3,1
2004-03-21 01:00:00,2.1,471.8252427184466,7.4,133.0,90.0,15.1,60.9,1.0398,1,6,3,1
2004-03-21 02:00:00,1.6,471.29126213592235,6.2,89.0,84.0,15.6,56.6,0.9951,2,6,3,1
2004-03-21 03:00:00,1.6,470.75728155339806,6.5,87.0,85.5,15.2,57.9,0.9941,3,6,3,1
2004-03-21 04:00:00,1.35,470.22330097087377,5.8,85.0,87.0,15.4,57.8,1.0021,4,6,3,1
2004-03-21 05:00:00,1.1,469.68932038834953,4.0,55.0,66.0,14.9,60.6,1.0196,5,6,3,1
